pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_stores_1M__Chronos-2__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.9752,2.386,ML_TREE,-0.41080000000000005,-0.1721709974853311,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-2__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1303,0.2205,ML_TREE,-0.0902,-0.4090702947845805,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.0865,2.386,ML_TREE,-0.2995000000000001,-0.12552388935456835,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4178,2.386,ML_TREE,0.03180000000000005,0.013327745180217959,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.2637,0.2205,ML_TREE,0.04319999999999999,0.1959183673469387,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.091,2.386,ML_TREE,-0.29499999999999993,-0.12363788767812234,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.324,2.386,ML_TREE,-0.06200000000000028,-0.025984911986588546,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.2355,0.2205,ML_TREE,0.014999999999999986,0.06802721088435368,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TabPFN-TS__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.9336,2.386,ML_TREE,-0.45240000000000014,-0.18960603520536468,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TabPFN-TS__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1758,2.386,ML_TREE,-0.21019999999999994,-0.08809723386420786,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TabPFN-TS__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.1159,0.2205,ML_TREE,-0.1046,-0.47437641723356005,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TiRex__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,1.8559,2.386,ML_TREE,-0.5301,-0.2221709974853311,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TiRex__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,TiRex,7.544068044350276,TRUE,TRUE,2.2147,2.386,ML_TREE,-0.1713,-0.07179379715004192,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TiRex__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1894,0.2205,ML_TREE,-0.03109999999999999,-0.1410430839002267,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TimesFM-2.5__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.9983,2.386,ML_TREE,-0.38770000000000016,-0.1624895222129087,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TimesFM-2.5__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,2.2338,2.386,ML_TREE,-0.1522000000000001,-0.0637887678122381,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.2103,0.2205,ML_TREE,-0.010200000000000015,-0.04625850340136061,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Toto-1.0__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,Toto-1.0,8,TRUE,TRUE,2.0094,2.386,ML_TREE,-0.37660000000000027,-0.1578373847443421,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Toto-1.0__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Toto-1.0,8,TRUE,TRUE,2.2865,2.386,ML_TREE,-0.09949999999999992,-0.04170159262363785,6.333122229259025e-4,LIT,3158,3158
