pair_id,paper_id,study_id,suite_id,task_id,cluster_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,log_ratio,delta,delta_rel,vi,source,is_source_b,paired_inference_ok,quality_flag,n_series_num,baseline_n_series
b02_fev_favorita_stores_1d__TiRex__MASE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,MASE,TiRex,7.544068044350276,TRUE,TRUE,1.1934,1.22465,ML_TREE,-0.025848712781028866,-0.03125,-0.02551749479443106,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TiRex__WAPE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1518,0.15760000000000002,ML_TREE,-0.03749631246224934,-0.005800000000000027,-0.036802030456852965,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TimesFM-2.5__SQL,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.9494,1.22465,ML_TREE,-0.25458016175179266,-0.27525,-0.22475809414934877,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TimesFM-2.5__MASE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.1676,1.22465,ML_TREE,-0.04770472888905071,-0.057050000000000045,-0.046584738496713386,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.1452,0.15760000000000002,ML_TREE,-0.08194807503308323,-0.012400000000000022,-0.0786802030456854,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__Toto-1.0__SQL,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,SQL,Toto-1.0,8,TRUE,TRUE,1.0364,1.22465,ML_TREE,-0.16690191918105546,-0.18825000000000003,-0.15371738864165274,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__Toto-1.0__MASE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,MASE,Toto-1.0,8,TRUE,TRUE,1.2804,1.22465,ML_TREE,0.04451744022669768,0.055749999999999966,0.04552321071326498,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__Toto-1.0__WAPE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,WAPE,Toto-1.0,8,TRUE,TRUE,0.1784,0.15760000000000002,ML_TREE,0.1239680427221302,0.020799999999999985,0.13197969543147198,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1m__Chronos-2__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,1.7944,2.41115,ML_TREE,-0.29543310788851956,-0.6167500000000001,-0.2557908052174274,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-2__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.9752,2.41115,ML_TREE,-0.19943415306354845,-0.43595000000000006,-0.18080583953715035,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-2__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1303,0.24180000000000001,ML_TREE,-0.618271454049893,-0.11150000000000002,-0.4611248966087676,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.0865,2.41115,ML_TREE,-0.14461579106291095,-0.3246500000000001,-0.13464529373950193,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4178,2.41115,ML_TREE,0.002754223673373442,0.006650000000000045,0.002758020031934987,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.2637,0.24180000000000001,ML_TREE,0.08670115517854853,0.021899999999999975,0.09057071960297756,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.091,2.41115,ML_TREE,-0.14246139166588456,-0.32014999999999993,-0.13277896439458348,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.324,2.41115,ML_TREE,-0.036813973122716434,-0.08715000000000028,-0.03614457831325313,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.2355,0.24180000000000001,ML_TREE,-0.026400024724219942,-0.006300000000000028,-0.026054590570719717,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TabPFN-TS__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.9336,2.41115,ML_TREE,-0.22072026170524503,-0.47755000000000014,-0.1980590174812849,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TabPFN-TS__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1758,2.41115,ML_TREE,-0.10270739910753583,-0.23534999999999995,-0.09760902473923229,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__TabPFN-TS__WAPE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.1159,0.24180000000000001,ML_TREE,-0.7353831878349864,-0.1259,-0.5206782464846981,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
