contrast_i,contrast_j,covariance,correlation
Favorita_h14_chronos2_vs_lightgbm_cov,Rohlik_h28_timesfm25_vs_lightgbm_cov,-8.280606595684704e-06,-0.04865325833703963
Favorita_h14_chronos2_vs_lightgbm_cov,Rohlik_h28_tirex_vs_lightgbm_cov,-9.452038266540526e-06,-0.05278715624962015
Favorita_h14_chronos2_vs_lightgbm_cov,Rohlik_h7_chronos2_vs_lightgbm_cov,-1.344037476415773e-06,-0.011276503718066532
Favorita_h14_chronos2_vs_lightgbm_cov,Rohlik_h7_chronos_bolt_tiny_vs_lightgbm_cov,8.554843626097916e-07,0.007379006617455462
Favorita_h14_chronos2_vs_lightgbm_cov,Rohlik_h7_moirai2_vs_lightgbm_cov,8.893694318698769e-07,0.0059780199743148825
Favorita_h14_chronos2_vs_lightgbm_cov,Rohlik_h7_timesfm25_vs_lightgbm_cov,-4.928369343212562e-07,-0.0035262545718757186
Favorita_h14_chronos2_vs_lightgbm_cov,Rohlik_h7_tirex_vs_lightgbm_cov,-1.6287525793482483e-06,-0.011465941169603791
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h14_chronos2_vs_lightgbm_cov,3.288497323139529e-05,0.11725256730853878
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,0.0006222489491036484,0.9999999999999998
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h14_moirai2_vs_lightgbm_cov,8.371212088253386e-05,0.35632711209381823
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h14_timesfm25_vs_lightgbm_cov,0.00036996954003529344,0.7953516686828501
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h14_tirex_vs_lightgbm_cov,0.00010352213832664853,0.3925510732482633
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h28_chronos2_vs_lightgbm_direct,-0.00017544440731528395,-0.23278130842126943
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_direct,0.0003087029102417653,0.4080772085084023
