horizon,model_name,WAPE_aggregate,panel_weighted_rmsse,panel_mean_rmsse,n_series,n_origins
7,chronos2,0.2936569456934281,0.6487699098691807,0.6067493057578265,100,5400
7,tirex,0.2981849257964853,0.6544934787640351,0.6123490013535176,100,5400
7,timesfm25,0.2988472750132987,0.6546849470200686,0.6121569682449322,100,5400
7,moirai2,0.2979939021907553,0.6614122153991328,0.6132420990669406,100,5400
7,lightgbm_cov,0.3196174546295087,0.6819430224968458,0.6426554735204296,100,5400
7,chronos_bolt_tiny,0.3143069542902448,0.6890230149581328,0.6425144109133926,100,5400
7,lightgbm_tuned_cov,0.3124376941362411,0.6909440605572849,0.6323727085879242,100,5400
7,lightgbm_direct,0.3209322525414624,0.6917270970200183,0.6484021672888508,100,5400
7,lightgbm_direct_scaled,0.3209322525414624,0.6917270970200183,0.6484021672888508,100,5400
7,lightgbm_tuned_direct,0.3208931105812773,0.7013496318883591,0.6495149670161422,100,5400
7,lightgbm_rich_tuned,0.3233082205418654,0.715221349097701,0.6555508993858085,100,5400
7,seasonal_naive,0.3981687427172947,0.8851244415546976,0.8259031314889391,100,5400
14,chronos2,0.3070429666021884,0.7011584121850627,0.6570492989366383,100,2700
14,timesfm25,0.3108038618440417,0.7049519677376878,0.6577574682219226,100,2700
14,tirex,0.3120087794707143,0.7083496210348524,0.6640253276497513,100,2700
14,moirai2,0.3099852202230772,0.7126942672368134,0.6587689026588308,100,2700
14,lightgbm_rich_tuned,0.3203218198771564,0.7226334164513504,0.672353552234974,100,2700
14,lightgbm_cov,0.3336872170426434,0.7347180924060425,0.6904006597633046,100,2700
14,lightgbm_tuned_direct,0.3332743099078135,0.7381990121970531,0.6949252669063296,100,2700
14,lightgbm_direct,0.3372664171047394,0.7414325302049768,0.6989855873097152,100,2700
14,chronos_bolt_tiny,0.3306748605721658,0.7428142891888928,0.6961004957357182,100,2700
14,lightgbm_direct_scaled,0.3376199259692043,0.7500450453813541,0.7018729871287535,100,2700
14,lightgbm_tuned_cov,0.3318755332933421,0.7519478044150145,0.6886847097347354,100,2700
14,seasonal_naive,0.4223172195914956,0.9502604620549513,0.8907595421574565,100,2700
28,timesfm25,0.3316632686483893,0.7614209801770776,0.7115247966890309,100,1300
28,moirai2,0.3291934725472762,0.7694034669817087,0.7129084848092141,100,1300
28,chronos2,0.3391421657214263,0.7720932154843022,0.724007642353869,100,1300
28,tirex,0.347809130073229,0.7840937472203442,0.7368527147305654,100,1300
28,lightgbm_rich_tuned,0.3523773099547228,0.794368681738786,0.7393545437253773,100,1300
28,lightgbm_tuned_direct,0.35867222386606,0.7948659571163772,0.7529352885598757,100,1300
28,lightgbm_direct,0.3588244482354801,0.798183268983577,0.7567290343688874,100,1300
28,lightgbm_cov,0.3666184619172741,0.8026041429156334,0.7562388541745874,100,1300
28,lightgbm_tuned_cov,0.3684865939341415,0.8089643949947194,0.7564688738856357,100,1300
28,chronos_bolt_tiny,0.3597975654387789,0.8098714066144752,0.7597947982672939,100,1300
28,lightgbm_direct_scaled,0.3641265961107237,0.8262990868329261,0.7740472648534793,100,1300
28,seasonal_naive,0.4497335299204411,1.0023902736579975,0.9408163513074842,100,1300
