dataset,horizon,model_name,unmatched_saved_sweep_wape,unmatched_saved_sweep_n_series,legacy_100_series_n_valid,legacy_100_series_bootstrap_wape,legacy_100_series_bootstrap_se,wape_delta_saved_minus_legacy,workload_note
M5,28,tirex,0.9138,1000.0,100.0,0.9421,0.0102,-0.028300000000000103,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,7,chronos2,,,98.0,0.314,0.0112,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,7,chronos_bolt_tiny,,,98.0,0.3218,0.0111,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,7,moirai2,,,492.0,0.3117,0.0048,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,7,tirex,,,98.0,0.3143,0.011,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,14,chronos2,,,98.0,0.3274,0.0118,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,14,chronos_bolt_tiny,,,98.0,0.3344,0.0117,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,14,moirai2,,,98.0,0.327,0.0111,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,14,tirex,,,98.0,0.3264,0.0115,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,28,chronos2,,,98.0,0.3488,0.014,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,28,chronos_bolt_tiny,,,98.0,0.3528,0.0135,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,28,moirai2,,,98.0,0.3475,0.0128,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik,28,tirex,,,98.0,0.3452,0.013,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,7,chronos2,0.3243,4651.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,7,chronos_bolt_tiny,0.3338,4651.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,7,moirai2,0.324,4651.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,7,timesfm25,0.3238,4651.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
Rohlik v2,7,tirex,0.3232,4651.0,,,,,"Table 8 saved sweep and Appendix C legacy bootstrap are different workloads; deltas are integrity diagnostics, not model effects."
