suite_id,metric_name,k,n_tasks,n_models,median_log_ratio,mean_log_ratio,q25_log_ratio,q75_log_ratio,share_fm_better,median_ratio,mean_ratio
GIFT-Eval,MASE,28,4,7,-0.2243730694415361,-0.24826228376144327,-0.27683025585322046,-0.20503656529271108,1,0.7990169899363212,0.7801552943760467
GIFT-Eval,SQL,28,4,7,-0.540245814628361,-0.5917827889124395,-0.6808377939888353,-0.4397301103141482,1,0.5826050219336943,0.5533399165934225
GIFT-Eval,WAPE,28,4,7,-0.30560699449028605,-0.29141023252250037,-0.3571723203686846,-0.1973687291606957,1,0.7366760803309597,0.7472090856672655
fev-bench,MASE,138,20,7,-0.006091711642982863,-0.009559929637665752,-0.08071353111966673,0.0454836720706928,0.5289855072463768,0.9939268052135248,0.9904856212197771
fev-bench,SQL,138,20,7,-0.21189814189288614,-0.21268383710818942,-0.30911224203449544,-0.13599666132658242,0.9057971014492754,0.8090471013759927,0.8084116865933515
fev-bench,WAPE,138,20,7,-0.02108332276692563,-0.035512712893677884,-0.11790492407260512,0.05355783381417245,0.5869565217391305,0.9791373767350149,0.9651104648052842
