dataset,horizon,model_name,panel_n_series,baseline_model,model_WAPE_aggregate,baseline_WAPE_aggregate,log_ratio,bootstrap_se,ci95_low,ci95_high
Favorita,7,tirex,20,lightgbm_cov,0.2088107392877082,0.21733041310316678,-0.03999054847031683,0.021049323999253265,-0.07881430487956141,0.0003078770105269059
Favorita,14,tirex,20,lightgbm_direct,0.21427534468791004,0.22429609965814817,-0.045705207015673564,0.03411954219668237,-0.11252537711876151,0.018843459783990865
Favorita,28,tirex,20,lightgbm_direct,0.2226935662157203,0.2270205999967102,-0.019244078318096797,0.037363728729953374,-0.09465950123546961,0.047965615911442654
