run_id,panel_id,dataset,horizon,model_name,trial,protocol,validation_start_idx,validation_horizon,validation_WAPE_aggregate,params_json,source_run_dir
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,1,direct,1336,7,0.2338319271802902,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.015, ""min_child_samples"": 50, ""n_estimators"": 900, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20261722, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0, ""subsample"": 0.7, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.4, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,2,direct,1336,7,0.2292022407054901,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.025, ""min_child_samples"": 20, ""n_estimators"": 900, ""num_leaves"": 63, ""objective"": ""tweedie"", ""random_state"": 20261723, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 1.0, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.4, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,3,direct,1336,7,0.2331383675336837,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.06, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 31, ""objective"": ""tweedie"", ""random_state"": 20261724, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.05, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,4,direct,1336,7,0.2374464571475982,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.04, ""min_child_samples"": 100, ""n_estimators"": 150, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20261725, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.1, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,5,direct,1336,7,0.2286266386508941,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.025, ""min_child_samples"": 20, ""n_estimators"": 900, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20261726, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 1.0, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.05, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,6,direct,1336,7,0.23140949010849,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""min_child_samples"": 10, ""n_estimators"": 150, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20261727, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.1, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,7,direct,1336,7,0.2464176267385482,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.025, ""min_child_samples"": 100, ""n_estimators"": 150, ""num_leaves"": 63, ""objective"": ""tweedie"", ""random_state"": 20261728, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.05, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,8,direct,1336,7,0.2346012145280838,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.015, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 63, ""objective"": ""tweedie"", ""random_state"": 20261729, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.05, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,7,lightgbm_tuned_direct,9,direct,1336,7,0.2405255734920501,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""min_child_samples"": 100, ""n_estimators"": 300, ""num_leaves"": 15, ""objective"": ""tweedie"", ""random_state"": 20261730, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.7, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.2, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_v1_13_tuned_lightgbm_cov_100,favorita_top_volume_100_20260714,Favorita,14,lightgbm_tuned_cov,0,recursive,1329,14,0.2478029280900955,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 63, ""objective"": ""tweedie"", ""random_state"": 20260728, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0, ""tweedie_variance_power"": 1.1, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_cov_100
source_b_v1_13_tuned_lightgbm_cov_100,favorita_top_volume_100_20260714,Favorita,14,lightgbm_tuned_cov,1,recursive,1329,14,0.2497315406799316,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.06, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 63, ""objective"": ""tweedie"", ""random_state"": 20260729, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.1, ""verbosity"": -1}",source_b_v1_13_tuned_lightgbm_cov_100
