run_id,panel_id,dataset,horizon,model_name,hardware,runtime_sec,wall_clock_sec,cost_usd,co2_kg,series_per_second,n_eval_origins,train_fraction,train_window_days,series_selection,model_params_json,source_run_dir
source_b_repair_baselines_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,14,lightgbm_direct_scaled,M_SERIES_MAC,65.86592817306519,65.86592888832092,0.0001097765469551,0.0003567737776041,1.5182356458599695,24,0.8,365,top_volume,"{""n_estimators_per_head"": 600, ""protocol"": ""direct_scaled""}",source_b_repair_baselines_favorita_100_v1_5
source_b_v1_13_tuned_lightgbm_cov_100,favorita_top_volume_100_20260714,Favorita,14,lightgbm_tuned_cov,M_SERIES_MAC,80.85552406311035,80.85552597045898,0.0001347592067718,0.0004379674220085,1.2367738773413524,24,0.8,365,top_volume,"{""protocol"": ""recursive_tuned"", ""selected_params"": {""colsample_bytree"": 1.0, ""learning_rate"": 0.015, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20260736, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.2, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_cov_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,14,lightgbm_tuned_direct,M_SERIES_MAC,785.9145770072937,785.9145781993866,0.0013098576283454,0.0042570372921228,0.1272402916622221,24,0.8,365,top_volume,"{""protocol"": ""direct_tuned"", ""selected_params"": {""colsample_bytree"": 0.85, ""learning_rate"": 0.025, ""min_child_samples"": 20, ""n_estimators"": 150, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20261733, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.85, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.2, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_repair_fm_moirai2_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,14,moirai2,M_SERIES_MAC,10.31150722503662,10.311508893966677,1.7185845375061036e-05,5.585399746894836e-05,9.69790330527018,24,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_moirai2_favorita_100_v1_5
source_b_repair_baselines_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,14,seasonal_naive,M_SERIES_MAC,0.0001730918884277,0.0001740455627441,2.8848648071289055e-10,9.375810623168946e-10,577727.8236914601,24,0.8,365,top_volume,{},source_b_repair_baselines_favorita_100_v1_5
source_b_repair_fm_timesfm25_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,14,timesfm25,M_SERIES_MAC,333.9576630592346,333.95766401290894,0.0005565961050987,0.0018089373415708,0.2994391537057284,24,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate_batched""}",source_b_repair_fm_timesfm25_favorita_100_v1_5
source_b_v1_6_tirex_batched_favorita_100,favorita_top_volume_100_20260714,Favorita,14,tirex,M_SERIES_MAC,217.56904816627505,217.56905102729797,0.0003626150802771,0.0011784990109006,0.4596242013412495,24,0.8,365,top_volume,"{""device"": ""cpu"", ""protocol"": ""zero_shot_univariate_batched""}",source_b_v1_6_tirex_batched_favorita_100
source_b_repair_fm_chronos2_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,chronos2,M_SERIES_MAC,39.30152010917664,39.30152201652527,6.550253351529439e-05,0.0002128832339247,2.544430844461171,12,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_chronos2_favorita_100_v1_5
source_b_repair_fm_chronos_bolt_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,chronos_bolt_tiny,M_SERIES_MAC,12.304445028305054,12.304445028305054,2.0507408380508425e-05,6.664907723665238e-05,8.127144277532286,12,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_chronos_bolt_favorita_100_v1_5
source_b_repair_baselines_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,lightgbm_cov,M_SERIES_MAC,2.583899974822998,2.5839009284973145,4.30649995803833e-06,1.3996124863624571e-05,38.70118850357208,12,0.8,365,top_volume,"{""n_estimators"": 300, ""protocol"": ""recursive""}",source_b_repair_baselines_favorita_100_v1_5
source_b_repair_baselines_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,lightgbm_direct,M_SERIES_MAC,67.89486479759216,67.89486694335938,0.0001131581079959,0.0003677638509869,1.472865441268931,12,0.8,365,top_volume,"{""n_estimators_per_head"": 300, ""protocol"": ""direct""}",source_b_repair_baselines_favorita_100_v1_5
source_b_repair_baselines_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,lightgbm_direct_scaled,M_SERIES_MAC,254.8596348762512,254.8596358299255,0.000424766058127,0.001380489688913,0.3923728449526958,12,0.8,365,top_volume,"{""n_estimators_per_head"": 1200, ""protocol"": ""direct_scaled""}",source_b_repair_baselines_favorita_100_v1_5
source_b_v1_13_tuned_lightgbm_cov_100,favorita_top_volume_100_20260714,Favorita,28,lightgbm_tuned_cov,M_SERIES_MAC,131.68139910697937,131.6814000606537,0.0002194689985116,0.0007132742451628,0.7594086991645566,12,0.8,365,top_volume,"{""protocol"": ""recursive_tuned"", ""selected_params"": {""colsample_bytree"": 1.0, ""learning_rate"": 0.04, ""min_child_samples"": 10, ""n_estimators"": 600, ""num_leaves"": 127, ""objective"": ""tweedie"", ""random_state"": 20260743, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.2, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_cov_100
source_b_v1_13_tuned_lightgbm_direct_100,favorita_top_volume_100_20260714,Favorita,28,lightgbm_tuned_direct,M_SERIES_MAC,1141.659749031067,1141.659749031067,0.0019027662483851,0.0061839903072516,0.0875917716157292,12,0.8,365,top_volume,"{""protocol"": ""direct_tuned"", ""selected_params"": {""colsample_bytree"": 0.7, ""learning_rate"": 0.025, ""min_child_samples"": 10, ""n_estimators"": 900, ""num_leaves"": 31, ""objective"": ""tweedie"", ""random_state"": 20261751, ""reg_alpha"": 0.01, ""reg_lambda"": 0.1, ""subsample"": 0.7, ""subsample_freq"": 1, ""tweedie_variance_power"": 1.4, ""verbosity"": -1}, ""tuning_trials"": 10}",source_b_v1_13_tuned_lightgbm_direct_100
source_b_repair_fm_moirai2_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,moirai2,M_SERIES_MAC,5.491972923278809,5.491974830627441,9.15328820546468e-06,2.9748186667760212e-05,18.208392757387845,12,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_moirai2_favorita_100_v1_5
source_b_repair_baselines_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,seasonal_naive,M_SERIES_MAC,0.0001242160797119,0.0001242160797119,2.0702679951985678e-10,6.728370984395345e-10,805048.7523992322,12,0.8,365,top_volume,{},source_b_repair_baselines_favorita_100_v1_5
source_b_repair_fm_timesfm25_favorita_100_v1_5,favorita_top_volume_100_20260714,Favorita,28,timesfm25,M_SERIES_MAC,167.66299700737,167.6629981994629,0.0002794383283456,0.0009081745671232,0.59643452511829,12,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate_batched""}",source_b_repair_fm_timesfm25_favorita_100_v1_5
source_b_v1_6_tirex_batched_favorita_100,favorita_top_volume_100_20260714,Favorita,28,tirex,M_SERIES_MAC,106.78492999076845,106.78492999076845,0.0001779748833179,0.0005784183707833,0.9364617274052154,12,0.8,365,top_volume,"{""device"": ""cpu"", ""protocol"": ""zero_shot_univariate_batched""}",source_b_v1_6_tirex_batched_favorita_100
source_b_repair_fm_chronos2_m5_rohlik_100,m5_top_volume_100_20260714,M5,7,chronos2,M_SERIES_MAC,234.54396891593933,234.5439760684967,0.0003909066148598,0.0012704464982946,0.4263592897408504,54,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_chronos2_m5_rohlik_100
source_b_repair_fm_chronos_bolt_m5_rohlik_100,m5_top_volume_100_20260714,M5,7,chronos_bolt_tiny,M_SERIES_MAC,55.64524531364441,55.64524817466736,9.274207552274068e-05,0.0003014117454489,1.797098735684424,54,0.8,365,top_volume,"{""protocol"": ""zero_shot_univariate""}",source_b_repair_fm_chronos_bolt_m5_rohlik_100
