suite_id,k,n_tasks,n_metrics,n_models,median_log_ratio,mean_log_ratio,q25_log_ratio,q75_log_ratio,share_fm_better,median_ratio,mean_ratio
GIFT-Eval,84,4,3,7,-0.339377705139834,-0.3771517683987944,-0.4511127066037176,-0.22144427960569,1,0.7122133916215222,0.6858119814109523
fev-bench,414,20,3,7,-0.0692131427531536,-0.08591882654651099,-0.21573130000185584,0.018050000787065684,0.6739130434782609,0.9331277694589499,0.9176687185359561
