pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_stores_1M__Chronos-2__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.9752,2.41115,ML_TREE,-0.43595000000000006,-0.18080583953715035,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-2__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1303,0.24180000000000001,ML_TREE,-0.11150000000000002,-0.4611248966087676,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.0865,2.41115,ML_TREE,-0.3246500000000001,-0.13464529373950193,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4178,2.41115,ML_TREE,0.006650000000000045,0.002758020031934987,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.2637,0.24180000000000001,ML_TREE,0.021899999999999975,0.09057071960297756,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.091,2.41115,ML_TREE,-0.32014999999999993,-0.13277896439458348,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.324,2.41115,ML_TREE,-0.08715000000000028,-0.03614457831325313,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.2355,0.24180000000000001,ML_TREE,-0.006300000000000028,-0.026054590570719717,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TabPFN-TS__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.9336,2.41115,ML_TREE,-0.47755000000000014,-0.1980590174812849,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TabPFN-TS__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1758,2.41115,ML_TREE,-0.23534999999999995,-0.09760902473923229,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TabPFN-TS__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.1159,0.24180000000000001,ML_TREE,-0.1259,-0.5206782464846981,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TiRex__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,1.8559,2.41115,ML_TREE,-0.55525,-0.23028430417020923,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TiRex__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,TiRex,7.544068044350276,TRUE,TRUE,2.2147,2.41115,ML_TREE,-0.19645,-0.08147564440204881,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TiRex__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1894,0.24180000000000001,ML_TREE,-0.0524,-0.21670802315963605,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TimesFM-2.5__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.9983,2.41115,ML_TREE,-0.41285000000000016,-0.1712253488999026,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TimesFM-2.5__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,2.2338,2.41115,ML_TREE,-0.17735000000000012,-0.07355411318250632,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.2103,0.24180000000000001,ML_TREE,-0.03150000000000003,-0.13027295285359813,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Toto-1.0__SQL,B02_fev_favorita_stores_1M,Favorita,medium,SQL,Toto-1.0,8,TRUE,TRUE,2.0094,2.41115,ML_TREE,-0.4017500000000003,-0.16662173651577059,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Toto-1.0__MASE,B02_fev_favorita_stores_1M,Favorita,medium,MASE,Toto-1.0,8,TRUE,TRUE,2.2865,2.41115,ML_TREE,-0.12464999999999993,-0.05169732285423965,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1M__Toto-1.0__WAPE,B02_fev_favorita_stores_1M,Favorita,medium,WAPE,Toto-1.0,8,TRUE,TRUE,0.1978,0.24180000000000001,ML_TREE,-0.04400000000000001,-0.18196856906534328,6.333122229259025e-4,LIT,3158,3158
B02_fev_favorita_stores_1W__Chronos-2__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,2.0241,2.45255,ML_TREE,-0.4284500000000002,-0.17469572485780116,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-2__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,2.2987,2.45255,ML_TREE,-0.15384999999999982,-0.06273062730627299,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-2__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1289,0.13405,ML_TREE,-0.005150000000000016,-0.03841850055949284,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.1011,2.45255,ML_TREE,-0.3514499999999998,-0.14329983078836306,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4749,2.45255,ML_TREE,0.02234999999999987,0.009112964057817322,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.158,0.13405,ML_TREE,0.02395,0.1786646773591943,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.197,2.45255,ML_TREE,-0.25554999999999994,-0.10419767181097223,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.577,2.45255,ML_TREE,0.12444999999999995,0.05074310411612401,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.1555,0.13405,ML_TREE,0.021449999999999997,0.1600149198060425,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TabPFN-TS__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1227,2.45255,ML_TREE,-0.32985,-0.13449267089355976,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TabPFN-TS__MASE,B02_fev_favorita_stores_1W,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.5268,2.45255,ML_TREE,0.07425000000000015,0.03027461213838664,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TabPFN-TS__WAPE,B02_fev_favorita_stores_1W,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.126,0.13405,ML_TREE,-0.008050000000000002,-0.060052219321148834,0.001266624445851805,LIT,1579,1579
B02_fev_favorita_stores_1W__TiRex__SQL,B02_fev_favorita_stores_1W,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,2.0462,2.45255,ML_TREE,-0.4063500000000002,-0.16568469552098844,0.001266624445851805,LIT,1579,1579
