horizon,model_name,best_baseline_model,fm_panel_weighted_rmsse,baseline_panel_weighted_rmsse,log_ratio,ci95_low,ci95_high,bootstrap_draws,n_series
7,chronos2,lightgbm_cov,0.6487699098691807,0.6819430224968458,-0.0498679860317861,-0.06285676546554429,-0.0362055821393224,1000,100
7,tirex,lightgbm_cov,0.6544934787640351,0.6819430224968458,-0.04108448801837164,-0.0526900005980516,-0.028082432811711758,1000,100
7,timesfm25,lightgbm_cov,0.6546849470200686,0.6819430224968458,-0.04079198662417244,-0.0550876491291532,-0.02755383266171255,1000,100
7,moirai2,lightgbm_cov,0.6614122153991328,0.6819430224968458,-0.030568840246402752,-0.04754285689123076,-0.014263131186839173,1000,100
7,chronos_bolt_tiny,lightgbm_cov,0.6890230149581328,0.6819430224968458,0.010328564250946142,-0.0068528403086739595,0.025662759087080725,1000,100
14,chronos2,lightgbm_rich_tuned,0.7011584121850627,0.7226334164513504,-0.030168220589947135,-0.04468661581633546,-0.014702088511255746,1000,100
14,timesfm25,lightgbm_rich_tuned,0.7049519677376878,0.7226334164513504,-0.024772392764638086,-0.03993977202112654,-0.007669581069539157,1000,100
14,tirex,lightgbm_rich_tuned,0.7083496210348524,0.7226334164513504,-0.01996427555918079,-0.034796072996411555,-0.004291730329163948,1000,100
14,moirai2,lightgbm_rich_tuned,0.7126942672368134,0.7226334164513504,-0.013849531637423532,-0.034248152428352635,0.0054340777896299776,1000,100
14,chronos_bolt_tiny,lightgbm_rich_tuned,0.7428142891888928,0.7226334164513504,0.027544003832507626,0.006824224697814657,0.04781343250692855,1000,100
28,timesfm25,lightgbm_rich_tuned,0.7614209801770776,0.794368681738786,-0.042361289854555645,-0.05460867730310545,-0.026566660604485415,1000,100
28,moirai2,lightgbm_rich_tuned,0.7694034669817087,0.794368681738786,-0.031932191767830735,-0.04987107548935311,-0.013454712538273695,1000,100
28,chronos2,lightgbm_rich_tuned,0.7720932154843022,0.794368681738786,-0.02844239997913686,-0.04032583778809853,-0.01484083916729757,1000,100
28,tirex,lightgbm_rich_tuned,0.7840937472203442,0.794368681738786,-0.013019099422779127,-0.025827918888301084,0.0020444299579066264,1000,100
28,chronos_bolt_tiny,lightgbm_rich_tuned,0.8098714066144752,0.794368681738786,0.019327789636379933,0.0017862888097216747,0.03932864163052496,1000,100
