contrast_id,Favorita_h7_chronos2_vs_lightgbm_cov,Favorita_h7_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h7_moirai2_vs_lightgbm_cov,Favorita_h7_timesfm25_vs_lightgbm_cov,Favorita_h7_tirex_vs_lightgbm_cov,Favorita_h14_chronos2_vs_lightgbm_cov,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,Favorita_h14_moirai2_vs_lightgbm_cov,Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h14_tirex_vs_lightgbm_cov,Favorita_h28_chronos2_vs_lightgbm_direct,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_direct,Favorita_h28_moirai2_vs_lightgbm_direct,Favorita_h28_timesfm25_vs_lightgbm_direct,Favorita_h28_tirex_vs_lightgbm_direct,M5_h7_chronos2_vs_lightgbm_cov,M5_h7_chronos_bolt_tiny_vs_lightgbm_cov,M5_h7_moirai2_vs_lightgbm_cov,M5_h7_timesfm25_vs_lightgbm_cov,M5_h7_tirex_vs_lightgbm_cov,M5_h14_chronos2_vs_lightgbm_cov,M5_h14_chronos_bolt_tiny_vs_lightgbm_cov,M5_h14_moirai2_vs_lightgbm_cov,M5_h14_timesfm25_vs_lightgbm_cov,M5_h14_tirex_vs_lightgbm_cov,M5_h28_chronos2_vs_lightgbm_direct,M5_h28_chronos_bolt_tiny_vs_lightgbm_direct,M5_h28_moirai2_vs_lightgbm_direct,M5_h28_timesfm25_vs_lightgbm_direct,M5_h28_tirex_vs_lightgbm_direct,Rohlik_h7_chronos2_vs_lightgbm_cov,Rohlik_h7_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h7_moirai2_vs_lightgbm_cov,Rohlik_h7_timesfm25_vs_lightgbm_cov,Rohlik_h7_tirex_vs_lightgbm_cov,Rohlik_h14_chronos2_vs_lightgbm_cov,Rohlik_h14_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h14_moirai2_vs_lightgbm_cov,Rohlik_h14_timesfm25_vs_lightgbm_cov,Rohlik_h14_tirex_vs_lightgbm_cov,Rohlik_h28_chronos2_vs_lightgbm_cov,Rohlik_h28_chronos_bolt_tiny_vs_lightgbm_cov,Rohlik_h28_moirai2_vs_lightgbm_cov,Rohlik_h28_timesfm25_vs_lightgbm_cov,Rohlik_h28_tirex_vs_lightgbm_cov
Favorita_h14_chronos2_vs_lightgbm_cov,0.00010810348730755369,1.589871039057423e-05,4.874951892427705e-05,-8.005270292684875e-06,0.00011153693230304357,0.00012641135668389089,3.288497323139529e-05,5.5995255381903174e-05,9.937782744769644e-06,0.00011039447894281682,0.00020532883943425665,0.0001498622370464489,0.0001332815764039162,0.00011619859669872219,0.00017740945634772353,1.2587452876884321e-06,2.0765116648283687e-07,1.1454601473233885e-06,3.3657515383444287e-07,1.3834138821114326e-06,4.762128170862706e-06,4.317152075738392e-06,1.3591910376881847e-06,1.4379206646967206e-06,3.6900336331560774e-06,2.2233883800068084e-07,1.7182678569043476e-06,4.7331450978296505e-08,-9.600467551586529e-07,1.2897251336507173e-06,-1.344037476415773e-06,8.554843626097916e-07,8.893694318698769e-07,-4.928369343212562e-07,-1.6287525793482483e-06,-4.2836211079433495e-06,-2.1549691058590656e-06,-3.1480129514275647e-06,-3.296833680578417e-06,-4.586361226942442e-06,-8.652607220751682e-06,-6.051402049232955e-06,-1.0065893892784082e-05,-8.280606595684704e-06,-9.452038266540526e-06
Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,-1.1602590496505332e-05,0.000632483224857,8.648906267177808e-06,0.00032452379383152017,3.063085723719807e-05,3.288497323139529e-05,0.0006222489491036484,8.371212088253386e-05,0.00036996954003529344,0.00010352213832664853,-0.00017544440731528395,0.0003087029102417653,-8.713549616141976e-05,0.00012786283755756973,-6.45380920576747e-05,-1.3641170482233132e-06,-5.727023354517522e-06,-3.546486476173246e-06,-2.627073877028921e-06,-4.557954824685164e-06,-8.496846290530986e-08,-2.975982236988912e-06,9.96671463901313e-07,3.7271789119002574e-07,-1.796070071363127e-06,-1.5889413296864427e-05,-1.816482231076089e-05,-1.5544573977324222e-05,-1.3839925436656851e-05,-1.7663833068879725e-05,1.4180753146689696e-05,1.999121471090179e-05,1.5077501176855445e-05,1.686962859423647e-05,2.182189684499514e-05,1.3205023353627881e-05,1.792165116457225e-05,1.050670275779209e-05,1.1031946268167042e-05,2.2582112653881627e-05,6.9966538773991394e-06,1.2499735171935234e-05,7.064389679046175e-06,9.524275780036107e-06,1.7899913725243165e-05
Favorita_h14_moirai2_vs_lightgbm_cov,4.139589538737038e-05,7.124182183096665e-05,6.554035685553901e-05,9.080229381034967e-05,4.290141248812329e-05,5.5995255381903174e-05,8.371212088253386e-05,8.869819504364088e-05,0.00010903103414530072,6.410566527227391e-05,1.4709418529092006e-05,3.35009019781831e-05,5.14387095775567e-05,6.160013888562959e-05,4.076384884219997e-05,5.988200865879145e-07,-9.796060265088937e-07,5.788626892535157e-07,-4.4254435746092216e-07,1.0343085777410665e-06,1.8505238737035318e-06,1.312691406447053e-06,1.732533176462356e-06,1.347484305988272e-07,1.7738583982153763e-06,-6.376698794072405e-06,-6.909537752296996e-06,-2.3780628828050133e-06,-6.8796647157789895e-06,-6.872896844949266e-06,-6.253948112031679e-07,-1.9637607502855276e-07,1.7449020489971307e-07,1.142410908245068e-06,1.1610953201498562e-06,-2.896475473910685e-07,3.9627974835462277e-07,1.1417526326720714e-06,1.4342655385486926e-06,2.5381556526843503e-06,-1.7283005429163087e-06,-2.0492645829940902e-06,-1.3571008925944536e-06,-1.2495913838210829e-06,-1.6343989098486647e-07
Favorita_h14_timesfm25_vs_lightgbm_cov,-3.3228683089790726e-05,0.0003576906894640585,3.1734801634090425e-05,0.0003032814843413112,-3.0495277467838658e-05,9.937782744769644e-06,0.00036996954003529344,0.00010903103414530072,0.0003477357759385983,5.2398878574645e-05,-0.0002645681595721518,-1.8978273428525998e-06,-0.00013891612981986197,1.6704042920730055e-05,-0.00016724411176341326,-1.4678735026883684e-06,-3.4136531167842367e-06,-3.50141359416967e-06,-2.668867713109457e-06,-3.1594219373173977e-06,-1.8223456444226081e-06,-1.4349921024319967e-06,2.4691067824194295e-07,-1.1412966422013527e-06,-1.629171006472832e-06,-1.0581319755110574e-05,-1.1988854676980418e-05,-7.077350715439832e-06,-1.0007350008054823e-05,-1.178130674840543e-05,6.5326685437173e-06,9.161268386826363e-06,3.5572189241388254e-06,6.951997874249659e-06,9.405036439130681e-06,7.171757750587723e-06,9.490940004311342e-06,2.9747150986362624e-06,2.9699045955074875e-06,1.0012084056242583e-05,5.618709482842121e-06,6.656629280857429e-06,3.397288344828328e-06,2.2052639713958936e-06,7.6693079306255e-06
Favorita_h14_tirex_vs_lightgbm_cov,9.208297378039271e-05,9.124552250614436e-05,4.9730199088142585e-05,3.280474648517496e-05,0.00010523652422884525,0.00011039447894281682,0.00010352213832664853,6.410566527227391e-05,5.2398878574645e-05,0.00011176606433881347,0.00015663531889799595,0.00017042335760076443,0.00011315215687056957,0.00011862646400727494,0.00015298394458133525,1.3743083120620416e-06,1.9779873834992587e-08,1.3292021313601687e-06,7.884757153001132e-07,1.4207839846049617e-06,4.581981174637619e-06,4.069717795168061e-06,2.166976163596872e-06,2.2527912050738503e-06,3.8059803329393298e-06,-9.35731920248479e-07,4.042132208494735e-07,-8.169655024063115e-07,-1.7316137848032791e-06,2.642631304172509e-07,1.6301662903856257e-06,3.888731980736286e-06,4.866328440497183e-06,3.3130062040429407e-06,2.9354496964760204e-06,-8.636194435955135e-07,1.3269368896771453e-06,1.5779085108282059e-06,1.1880636390424927e-06,1.5151020508926274e-06,-5.419378987867379e-06,-2.8179858239217687e-06,-5.04876594100829e-06,-3.511481878686968e-06,-3.2853780911299287e-06
Favorita_h28_chronos2_vs_lightgbm_direct,0.0002390505415556019,-0.00014452858417850396,9.993904101632951e-05,-0.00023165380358395734,0.00027647593821288795,0.00020532883943425665,-0.00017544440731528395,1.4709418529092006e-05,-0.0002645681595721518,0.00015663531889799595,0.0009128904747581689,0.0006918391822337485,0.0007015018315018447,0.0005700969581483821,0.0008008702593932416,6.257344444873246e-06,6.9724084462639065e-06,8.065569648024833e-06,6.62148030260685e-06,8.953131816398516e-06,1.0337396819129377e-05,1.285555319891084e-05,4.980105474653208e-06,4.1845436968023575e-06,1.0648988201518308e-05,-2.361882799482076e-06,4.707617255267045e-06,-6.099445124422654e-06,-8.229997460553346e-06,2.1639272822260128e-06,-1.662092794005243e-05,-1.7465735846492994e-05,-1.3252648912364928e-05,-1.5692165434785572e-05,-1.8650262863719438e-05,-1.5389916592554394e-05,-1.4829122745154469e-05,-1.2835072450249208e-05,-1.1352326983443428e-05,-1.8374361636484983e-05,-2.282174588945072e-05,-1.688610022562559e-05,-2.32055086233071e-05,-2.155284994445126e-05,-2.5538746559977902e-05
Favorita_h28_chronos_bolt_tiny_vs_lightgbm_direct,0.0001661916100023007,0.00036610354587363547,7.349418503028749e-05,1.2038500270214991e-05,0.0002437922504191007,0.0001498622370464489,0.0003087029102417653,3.35009019781831e-05,-1.8978273428525998e-06,0.00017042335760076443,0.0006918391822337485,0.000919671220591835,0.0005898846765048772,0.0006400976661528587,0.0006874727437036084,5.468535988405001e-06,3.199476301233661e-06,5.775467743594825e-06,5.779884514421544e-06,5.633142976133366e-06,7.876876048318729e-06,7.807088638120862e-06,5.649545478910759e-06,4.34353463456397e-06,7.507102814774486e-06,-1.678021360051676e-05,-1.247956567107496e-05,-1.9935289267046583e-05,-1.941765214708611e-05,-1.4132845313998288e-05,-6.412128794981803e-06,-4.4699404038738656e-06,-3.422156159204498e-06,-3.428471730275426e-06,-6.122568380357255e-07,-4.410914380246781e-06,-1.3511121685753903e-06,-4.128101979966301e-06,-2.118672662160302e-06,2.0177663208505056e-06,-1.5390714063637877e-05,-5.807140278725376e-06,-1.3291509277819256e-05,-1.0399049017025793e-05,-6.363637354709257e-06
Favorita_h28_moirai2_vs_lightgbm_direct,0.0001673165230667368,-5.1387086797221016e-05,0.00011514154625005921,-0.00010893608472158267,0.00020468079107193688,0.0001332815764039162,-8.713549616141976e-05,5.14387095775567e-05,-0.00013891612981986197,0.00011315215687056957,0.0007015018315018447,0.0005898846765048772,0.0006118884869085381,0.000523337007148434,0.0006553125354076864,5.8124227182648935e-06,5.483873978952398e-06,7.387735043128697e-06,5.729547206365634e-06,8.41345470309159e-06,7.08270111703406e-06,9.224949174826172e-06,5.5135536673268435e-06,2.4793942914820656e-06,8.41686721348527e-06,-1.1692630927008132e-05,-7.060259363737038e-06,-9.991782935283176e-06,-1.617744473351154e-05,-9.24534762172791e-06,-1.5503485516461576e-05,-1.7784213625061425e-05,-1.4325537095837222e-05,-1.3890241325267455e-05,-1.5141944358985563e-05,-1.1851152159828319e-05,-1.2167189927107787e-05,-9.68965684958256e-06,-7.802737871784826e-06,-1.1491163552763764e-05,-1.7118638489365875e-05,-1.3329488344575782e-05,-1.579577234160422e-05,-1.56402478130451e-05,-1.6797312159505095e-05
Favorita_h28_timesfm25_vs_lightgbm_direct,0.00013123999158466627,0.00016798290881816323,9.207081698865509e-05,2.9059187413451925e-05,0.000175065004375159,0.00011619859669872219,0.00012786283755756973,6.160013888562959e-05,1.6704042920730055e-05,0.00011862646400727494,0.0005700969581483821,0.0006400976661528587,0.000523337007148434,0.0005431678862948959,0.0005674924618294997,4.673403297253522e-06,4.419415016325106e-06,4.748216230638235e-06,4.871413348079595e-06,5.7491258150739645e-06,5.079048221871234e-06,8.370644576640474e-06,4.2440895874444324e-06,2.0838835894374643e-06,6.583321608440716e-06,-1.5326116291839743e-05,-1.0500449076757432e-05,-1.6328988374467834e-05,-1.945088797342735e-05,-1.2554642349043162e-05,-1.1985192046278289e-05,-1.2696385582808238e-05,-1.304044612630058e-05,-1.1205965491076225e-05,-1.0337027754796562e-05,-8.452613158660115e-06,-7.21246044592577e-06,-9.919498250873315e-06,-8.492064032938847e-06,-7.732840954047231e-06,-1.4534032066817068e-05,-9.06805630901811e-06,-1.479087185600519e-05,-1.5494206608511472e-05,-1.3448005521376895e-05
Favorita_h28_tirex_vs_lightgbm_direct,0.000208375672501699,-2.8774196419069502e-05,0.00010966147899857334,-0.00013886122544610563,0.00025331439705821246,0.00017740945634772353,-6.45380920576747e-05,4.076384884219997e-05,-0.00016724411176341326,0.00015298394458133525,0.0008008702593932416,0.0006874727437036084,0.0006553125354076864,0.0005674924618294997,0.0007396646396088056,6.567836073352245e-06,6.816149109066995e-06,8.438222747766451e-06,7.074666290875339e-06,9.168276027452136e-06,9.641345560956004e-06,1.2390472661487944e-05,6.937603285400615e-06,4.877594357623977e-06,1.06898842390565e-05,-6.729767739445849e-06,-5.422556880424401e-07,-8.185054516496844e-06,-1.2008501895909647e-05,-2.80608476508593e-06,-1.4808776531959987e-05,-1.5498289561110366e-05,-1.1595203850595399e-05,-1.3061053261926005e-05,-1.4573131864606383e-05,-1.2817156019410324e-05,-1.1774548929030714e-05,-9.84511001455284e-06,-8.492630416813236e-06,-1.2465155218894106e-05,-2.0237839110391356e-05,-1.4211894317474251e-05,-1.8596878304588648e-05,-1.7813895619674775e-05,-1.9291558208937775e-05
