contrast_id,task_name,model_name,baseline_name,metric,n_pairs,n_valid_pairs,model_wape_mean,baseline_wape_mean,log_ratio,bootstrap_mean,bootstrap_se,ci_low,ci_high,ratio,ratio_ci_low,ratio_ci_high
favorita_stores_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_stores_1D,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,15790,15463,0.41622894220613565,0.609447926085302,-0.3813180574472775,-0.38137750131232606,0.014127913536528668,-0.41096223621366373,-0.35453131827586754,0.6829606343559496,0.663011968970306,0.7015021474096601
favorita_stores_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_stores_1M,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,3158,3142,0.4027430597671816,0.3781579534338387,0.06298681523243214,0.06302912338862285,0.0196053115754708,0.022090864775421003,0.09862855861554541,1.0650127971925474,1.022336674642498,1.1036562797979121
favorita_stores_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_stores_1W,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,15790,15250,0.3848255075501749,0.4668273104687501,-0.1931694000112086,-0.19342139608703626,0.07960575852519657,-0.35272785425915704,-0.052574997464832615,0.8243423187125971,0.7027684227879871,0.9487831620556323
favorita_transactions_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_transactions_1D,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,510,505,0.11250210504659797,0.1525472290987751,-0.3045023141142572,-0.30346421374346394,0.031061554715023452,-0.36766553861334594,-0.24350510442605217,0.7374903215957616,0.6923487068770046,0.7838754747876657
favorita_transactions_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_transactions_1M,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,102,101,0.12496527081803033,0.12004353466383169,0.04018139938833734,0.04300902494234293,0.026738994996964367,-0.008223781833349639,0.09912190636657323,1.0409995937555605,0.9918099409542046,1.1042009004741047
favorita_transactions_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,favorita_transactions_1W,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,510,496,0.07915609587086671,0.09038516162733241,-0.13265831258537056,-0.13278769472855953,0.022482708206268506,-0.17608648079985253,-0.08807106319709222,0.8757642786239147,0.8385454621189959,0.9156958021398851
hermes__chronos_bolt_tiny__vs__seasonal_naive__WAPE,hermes,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,10000,10000,0.21304996197644446,0.24116356069304185,-0.12394867689628022,-0.12397961168563645,0.00308251528934622,-0.13002484609819123,-0.11795055530257818,0.8834251798414066,0.8780736139462979,0.8887399950083891
hierarchical_sales_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,hierarchical_sales_1D,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,1180,1180,0.812027455639495,1.248309700820996,-0.43001152389851033,-0.43009938009934834,0.032724722106988006,-0.49862123352445736,-0.3717036689734336,0.6505015983657226,0.6073675006241617,0.6895585498443815
hierarchical_sales_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,hierarchical_sales_1W,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,1180,1180,0.4598369004638655,0.7605987247966229,-0.5032340565157842,-0.5017631302633752,0.050646724949979294,-0.6010547995653152,-0.40037516836362486,0.6045722737529197,0.5482330550160136,0.6700686103291736
m5_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,m5_1D,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,30490,30490,1.0213222482265738,1.5938936324004027,-0.44508173856700317,-0.4450708583996211,0.005090695868227853,-0.4552594909720734,-0.4355082168161077,0.6407718981149721,0.6342833557869039,0.6469357998647557
m5_1M__chronos_bolt_tiny__vs__seasonal_naive__WAPE,m5_1M,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,30064,30053,0.597903080601409,0.7092814404772918,-0.1708237336528839,-0.170876277660539,0.01943784977423652,-0.19839791482917155,-0.12656117524146332,0.8429701476455752,0.8200434807463758,0.8811202451509699
m5_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,m5_1W,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,30490,30447,0.6728171715920737,0.8385329806676054,-0.22018028251324764,-0.22019649491156335,0.005768916218217994,-0.2317523313794496,-0.20919404556429866,0.8023741308975162,0.7931425355007784,0.8112378032720624
restaurant__chronos_bolt_tiny__vs__seasonal_naive__WAPE,restaurant,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,6502,6502,0.40590857112458145,0.5330374553933014,-0.27246375451249283,-0.2725536003516036,0.004247954700516889,-0.28103084400268397,-0.26466701883219157,0.7615010296510628,0.7550050477433473,0.7674614576462887
rohlik_orders_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_orders_1D,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,35,35,0.093751848068935,0.06572060029826293,0.3552389500848925,0.3457391982600354,0.12920321882315183,0.10783392891912928,0.6049600815964259,1.4265214809885562,1.113862749634897,1.8311791096800645
rohlik_orders_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_orders_1W,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,35,35,0.05994717477169987,0.08539911653709303,-0.35387200178940875,-0.3616786627283599,0.06164093724280028,-0.5034991136580017,-0.2648004841431401,0.7019648118451186,0.6044120487890984,0.7673590349992901
rohlik_sales_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_sales_1D,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,5356,5356,0.39599261913267786,0.52788257201216,-0.28747828495232436,-0.2870508617712951,0.022314258559106633,-0.3348513533949364,-0.25016565239045596,0.7501528561991547,0.7154444268339489,0.7786717835448351
rohlik_sales_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rohlik_sales_1W,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,5060,4993,0.44738083424547004,0.5729819842217393,-0.2474440650077035,-0.24313705196194105,0.0747010889123952,-0.3978513953911825,-0.11939520623786795,0.7807938932899108,0.6717618471515224,0.8874570029043778
rossmann_1D__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rossmann_1D,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,11150,10608,0.366544011300409,0.28162248918947885,0.26355111624698235,0.26359703600224044,0.0031552196412064117,0.2572263907656409,0.26982615337386767,1.301543823276819,1.2933378933741875,1.3097367376272853
rossmann_1W__chronos_bolt_tiny__vs__seasonal_naive__WAPE,rossmann_1W,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,8920,8740,0.19404524527339423,0.23846969490453296,-0.20615088193531494,-0.20625415644068001,0.003369136833839784,-0.2127010083780691,-0.19971702111594414,0.8137102928364828,0.8083978052572875,0.8189624693766936
walmart__chronos_bolt_tiny__vs__seasonal_naive__WAPE,walmart,chronos_bolt_tiny,seasonal_naive,mean_series_window_WAPE,2936,2936,0.23051218863751968,0.25833779753403474,-0.1139642811526229,-0.11300576253981398,0.04723676981053353,-0.21563880377200706,-0.03735055584862358,0.8922898268773497,0.8060263829908133,0.9633383722495018
