pair_id,paper_id,study_id,suite_id,task_id,cluster_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,log_ratio,delta,delta_rel,vi,source,is_source_b,paired_inference_ok,quality_flag,n_series_num,baseline_n_series
b02_fev_favorita_stores_1d__TiRex__MASE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,MASE,TiRex,7.544068044350276,TRUE,TRUE,1.1934,1.2171,ML_TREE,-0.01966460379252977,-0.023700000000000054,-0.019472516637909828,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TiRex__WAPE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1518,0.1567,ML_TREE,-0.03176928440044569,-0.0049000000000000155,-0.03126994256541171,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TimesFM-2.5__SQL,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.9494,1.2171,ML_TREE,-0.24839605276329355,-0.26770000000000005,-0.21994905923917513,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TimesFM-2.5__MASE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.1676,1.2171,ML_TREE,-0.041520619900551586,-0.0495000000000001,-0.04067044614246988,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__TimesFM-2.5__WAPE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.1452,0.1567,ML_TREE,-0.07622104697127949,-0.01150000000000001,-0.0733886407147416,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__Toto-1.0__SQL,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,SQL,Toto-1.0,8,TRUE,TRUE,1.0364,1.2171,ML_TREE,-0.16071781019255635,-0.18070000000000008,-0.14846766904937972,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__Toto-1.0__MASE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,MASE,Toto-1.0,8,TRUE,TRUE,1.2804,1.2171,ML_TREE,0.05070154921519667,0.06329999999999991,0.052008873551885555,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1d__Toto-1.0__WAPE,B02_fev_favorita_stores_1D,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1d,b02_fev_favorita_stores_1d,Favorita,long,WAPE,Toto-1.0,8,TRUE,TRUE,0.1784,0.1567,ML_TREE,0.12969507078393389,0.021699999999999997,0.1384811742182514,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1m__Chronos-2__SQL,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,1.7944,2.386,ML_TREE,-0.28494761945186287,-0.5916000000000001,-0.24794635373009224,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
b02_fev_favorita_stores_1m__Chronos-2__MASE,B02_fev_favorita_stores_1M,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1m,b02_fev_favorita_stores_1m,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.9752,2.386,ML_TREE,-0.18894866462689175,-0.41080000000000005,-0.1721709974853311,6.333122229259025e-4,LIT,FALSE,TRUE,Source A benchmark extraction,3158,3158
