metric_name,k,n_suites,n_tasks,n_models,median_log_ratio,mean_log_ratio,q25_log_ratio,q75_log_ratio,share_fm_better,median_ratio,mean_ratio
MASE,166,2,24,7,-0.03562927453968583,-0.049822977321194506,-0.192618216626835,0.032076583828900704,0.608433734939759,0.9649979764969655,0.9513978285868292
SQL,166,2,24,7,-0.2288158358894802,-0.27662823861734004,-0.36083708936029735,-0.15717208440512145,0.9216867469879518,0.7954750179652141,0.7583363648890169
WAPE,166,2,24,7,-0.047312154169494955,-0.07867614993950334,-0.2142375040998235,0.0230407815349538,0.6566265060240963,0.95378962170956,0.9243392232918787
