dataset,horizon,baseline_model,baseline_WAPE_aggregate,baseline_WAPE_mean,baseline_runtime_sec,baseline_source_run_dir
M5,7,lightgbm_tuned_cov,0.3126597080096934,0.3622877288386493,696.9552180767059,source_b_v1_15_m5_h7_lightgbm_tuned_cov_200trial
M5,14,lightgbm_tuned_cov,0.330436659660286,0.3829416991801906,816.9071080684662,source_b_v1_15_m5_h14_lightgbm_tuned_cov_200trial
M5,28,lightgbm_tuned_direct,0.3603068736375232,0.4300003114358011,1936.8932089805603,source_b_v1_15_m5_h28_lightgbm_tuned_direct_200trial
